jogador,time,posicao,Minutos,PrgR,xG,xAG,G-PK,Assistencias,PrgC,PrgP,Aerial Duel%,Aerial Duel Won,Aerial Duel Lost,Aerial Duels ,Acoes Ofensivas
Bukayo Saka,Arsenal,"FW,MF",1729,255,6.8,7.6,5,10,96,70,33.3,10,20,33.3% (10/20),166
Declan Rice,Arsenal,MF,2825,94,3.5,6.6,4,7,90,192,59.7,37,25,59.7% (37/25),282
Ethan Nwaneri,Arsenal,"FW,MF",895,113,1.2,1.2,4,2,46,33,33.3,4,8,33.3% (4/8),79
Gabriel Jesus,Arsenal,FW,608,57,3.0,0.7,3,0,15,19,33.3,9,18,33.3% (9/18),34
Gabriel Martinelli,Arsenal,"FW,MF",2290,289,7.4,5.0,8,4,124,52,30.4,17,39,30.4% (17/39),176
Jorginho,Arsenal,MF,704,6,0.1,0.4,0,0,12,48,14.3,1,6,14.3% (1/6),60
Kai Havertz,Arsenal,"FW,MF",1875,113,9.5,2.4,9,3,35,61,44.7,63,78,44.7% (63/78),96
Leandro Trossard,Arsenal,FW,2546,226,7.2,6.1,8,7,80,101,20.0,6,24,20.0% (6/24),181
Martin Ødegaard,Arsenal,MF,2325,154,4.8,5.4,2,8,92,258,53.3,8,7,53.3% (8/7),350
Mikel Merino,Arsenal,"MF,FW",1586,94,5.9,2.0,7,2,11,69,51.8,59,55,51.8% (59/55),80
Amadou Onana,Aston Villa,MF,1617,16,2.1,0.7,3,0,29,75,60.4,32,21,60.4% (32/21),104
Boubacar Kamara,Aston Villa,MF,1726,7,0.8,0.9,1,0,19,85,44.7,21,26,44.7% (21/26),104
Jacob Ramsey,Aston Villa,"FW,MF",1623,114,1.6,2.3,1,3,61,68,35.0,7,13,35.0% (7/13),129
John McGinn,Aston Villa,"MF,FW",2223,87,3.1,3.5,1,4,32,103,58.6,17,12,58.6% (17/12),135
Jáder Durán,Aston Villa,FW,638,44,4.9,0.2,7,0,7,13,50.0,19,19,50.0% (19/19),20
Leon Bailey,Aston Villa,"FW,MF",1139,121,1.7,1.5,1,2,58,35,40.0,6,9,40.0% (6/9),93
Marco Asensio,Aston Villa,MF,743,38,4.4,1.0,3,1,22,45,0.0,0,1,0.0% (0/1),67
Morgan Rogers,Aston Villa,"FW,MF",3114,188,6.6,7.8,8,10,114,123,20.0,13,52,20.0% (13/52),237
Ollie Watkins,Aston Villa,FW,2598,165,15.3,3.3,14,8,55,31,42.3,52,71,42.3% (52/71),86
Youri Tielemans,Aston Villa,MF,3026,48,3.3,7.0,3,7,39,235,55.0,22,18,55.0% (22/18),274
Alex Scott,Bournemouth,MF,755,33,0.7,0.9,0,0,15,52,50.0,7,7,50.0% (7/7),67
Antoine Semenyo,Bournemouth,FW,3203,282,10.0,5.8,11,5,140,109,46.5,66,76,46.5% (66/76),249
Dango Ouattara,Bournemouth,FW,2005,191,8.4,5.5,7,4,79,43,41.7,45,63,41.7% (45/63),122
David Brooks,Bournemouth,"FW,MF",960,83,2.5,1.9,2,0,35,35,41.2,7,10,41.2% (7/10),70
Evanilson,Bournemouth,FW,2319,99,12.5,1.9,10,1,29,28,40.4,42,62,40.4% (42/62),57
Justin Kluivert,Bournemouth,MF,2340,173,10.3,4.8,6,6,81,105,22.2,8,28,22.2% (8/28),186
Marcus Tavernier,Bournemouth,"FW,MF",1939,129,5.5,4.0,3,5,53,128,44.1,26,33,44.1% (26/33),181
Ryan Christie,Bournemouth,MF,2117,44,1.8,3.5,2,3,34,137,41.7,20,28,41.7% (20/28),171
Tyler Adams,Bournemouth,MF,1965,10,1.6,1.0,0,3,14,76,63.3,31,18,63.3% (31/18),90
Bryan Mbeumo,Brentford,FW,3414,351,12.3,8.3,15,7,130,141,31.5,34,74,31.5% (34/74),271
Christian Nørgaard,Brentford,MF,2819,42,4.3,1.3,5,4,14,154,62.0,49,30,62.0% (49/30),168
Kevin Schade,Brentford,FW,2293,165,8.2,3.7,11,2,61,38,52.9,90,80,52.9% (90/80),99
Mathias Jensen,Brentford,MF,862,27,0.2,1.7,0,2,6,61,61.5,8,5,61.5% (8/5),67
Mikkel Damsgaard,Brentford,"MF,FW",2911,137,2.8,8.4,2,10,73,234,30.8,12,27,30.8% (12/27),307
Vitaly Janelt,Brentford,MF,2254,38,0.8,2.2,1,3,17,80,63.3,19,11,63.3% (19/11),97
Yehor Yarmoliuk,Brentford,MF,1450,47,0.6,0.9,0,0,15,63,44.4,8,10,44.4% (8/10),78
Yoane Wissa,Brentford,FW,2919,154,18.5,2.6,19,4,60,67,45.5,30,36,45.5% (30/36),127
Brajan Gruda,Brighton,"MF,FW",687,57,1.2,2.1,1,4,22,26,37.5,3,5,37.5% (3/5),48
Carlos Baleba,Brighton,MF,2661,29,3.1,1.3,3,1,43,118,60.0,39,26,60.0% (39/26),161
Danny Welbeck,Brighton,FW,2115,95,9.6,1.4,9,4,21,47,34.7,17,32,34.7% (17/32),68
Georginio Rutter,Brighton,"MF,FW",1656,79,4.6,2.5,5,3,42,67,35.2,25,46,35.2% (25/46),109
João Pedro,Brighton,"FW,MF",1948,128,8.9,5.0,5,6,66,78,48.8,41,43,48.8% (41/43),144
Kaoru Mitoma,Brighton,"FW,MF",2603,291,9.2,4.6,10,4,146,89,49.1,26,27,49.1% (26/27),235
Matt O'Riley,Brighton,MF,938,52,2.8,2.4,1,2,22,38,38.5,5,8,38.5% (5/8),60
Simon Adingra,Brighton,"FW,MF",1097,136,2.5,2.5,2,2,50,18,63.6,7,4,63.6% (7/4),68
Yankuba Minteh,Brighton,"FW,MF",1838,201,4.1,5.0,6,4,90,48,33.3,17,34,33.3% (17/34),138
Yasin Ayari,Brighton,MF,1965,61,2.4,2.3,2,1,30,75,44.4,16,20,44.4% (16/20),105
Christopher Nkunku,Chelsea,FW,921,68,4.8,2.1,3,2,17,25,42.1,16,22,42.1% (16/22),42
Cole Palmer,Chelsea,"MF,FW",3191,187,17.3,10.9,11,8,120,214,22.2,2,7,22.2% (2/7),334
Enzo Fernández,Chelsea,MF,2947,126,6.1,6.8,6,7,60,212,32.6,14,29,32.6% (14/29),272
Jadon Sancho,Chelsea,FW,1764,225,2.2,3.7,3,4,102,90,35.3,6,11,35.3% (6/11),192
Nicolas Jackson,Chelsea,FW,2220,129,12.3,4.3,10,5,47,38,36.8,21,36,36.8% (21/36),85
Noni Madueke,Chelsea,FW,2033,226,9.6,4.2,7,3,154,69,36.7,11,19,36.7% (11/19),223
Pedro Neto,Chelsea,FW,2269,253,3.5,6.7,4,6,126,60,26.8,11,30,26.8% (11/30),186
Roméo Lavia,Chelsea,MF,797,7,0.3,0.7,0,1,3,31,66.7,12,6,66.7% (12/6),34
Adam Wharton,Crystal Palace,MF,1318,11,0.4,3.0,0,2,14,107,30.4,7,16,30.4% (7/16),121
Daichi Kamada,Crystal Palace,MF,1564,56,1.1,1.9,0,0,25,88,23.5,4,13,23.5% (4/13),113
Eberechi Eze,Crystal Palace,"MF,FW",2588,153,10.4,6.2,7,8,68,97,15.9,7,37,15.9% (7/37),165
Eddie Nketiah,Crystal Palace,"FW,MF",1034,78,5.7,1.7,3,1,41,19,35.6,21,38,35.6% (21/38),60
Ismaila Sarr,Crystal Palace,MF,2711,183,10.8,8.5,8,6,76,86,41.6,37,52,41.6% (37/52),162
Jean-Philippe Mateta,Crystal Palace,FW,2648,122,13.6,3.2,12,2,45,53,37.1,63,107,37.1% (63/107),98
Will Hughes,Crystal Palace,MF,2108,27,1.1,3.1,0,3,20,87,51.4,19,18,51.4% (19/18),107
Abdoulaye Doucouré,Everton,MF,2564,96,4.1,2.4,3,2,42,82,40.5,30,44,40.5% (30/44),124
Beto,Everton,FW,1534,77,8.2,1.2,8,0,15,16,48.5,99,105,48.5% (99/105),31
Carlos Alcaraz,Everton,"FW,MF",764,21,1.7,1.6,2,3,19,42,63.6,14,8,63.6% (14/8),61
Dominic Calvert-Lewin,Everton,FW,1609,112,6.7,0.6,3,1,23,20,51.2,85,81,51.2% (85/81),43
Dwight McNeil,Everton,"MF,FW",1371,80,1.1,5.2,4,6,38,69,15.0,3,17,15.0% (3/17),107
Idrissa Gana Gueye,Everton,MF,3063,27,1.1,1.7,0,3,27,145,61.5,24,15,61.5% (24/15),172
Iliman Ndiaye,Everton,FW,2430,122,6.2,1.9,7,0,86,59,24.0,6,19,24.0% (6/19),145
Jack Harrison,Everton,FW,2076,127,3.5,3.7,1,0,73,51,12.5,4,28,12.5% (4/28),124
Jesper Lindstrøm,Everton,FW,1239,81,2.1,2.0,0,1,30,25,33.3,6,12,33.3% (6/12),55
Orel Mangala,Everton,MF,1261,19,1.1,0.6,1,0,6,34,42.9,6,8,42.9% (6/8),40
Adama Traoré,Fulham,"FW,MF",1772,161,4.0,4.9,2,7,100,68,49.0,25,26,49.0% (25/26),168
Alex Iwobi,Fulham,"FW,MF",2981,246,4.7,7.0,9,6,144,213,18.4,7,31,18.4% (7/31),357
Andreas Pereira,Fulham,MF,2013,81,3.8,4.6,2,4,29,104,36.1,13,23,36.1% (13/23),133
Emile Smith Rowe,Fulham,MF,2043,127,4.5,1.4,6,3,53,126,23.1,6,20,23.1% (6/20),179
Harry Wilson,Fulham,"FW,MF",1162,96,4.2,1.1,6,1,22,51,20.0,5,20,20.0% (5/20),73
Raúl Jiménez,Fulham,FW,2494,125,12.0,3.3,9,3,35,62,47.9,91,99,47.9% (91/99),97
Rodrigo Muniz,Fulham,FW,964,31,5.8,0.7,8,1,6,27,51.5,67,63,51.5% (67/63),33
Sander Berge,Fulham,MF,2224,9,0.4,0.6,0,0,29,124,56.0,28,22,56.0% (28/22),153
Saša Lukić,Fulham,MF,2344,33,1.2,2.7,0,2,39,98,43.2,19,25,43.2% (19/25),137
Tom Cairney,Fulham,MF,628,33,0.8,1.1,2,0,18,53,35.7,5,9,35.7% (5/9),71
Conor Chaplin,Ipswich Town,"MF,FW",857,23,1.5,0.7,1,1,13,29,25.0,3,9,25.0% (3/9),42
George Hirst,Ipswich Town,FW,661,31,2.1,0.3,3,1,9,13,58.2,32,23,58.2% (32/23),22
Jack Clarke,Ipswich Town,"FW,MF",1181,57,1.2,2.3,0,4,39,44,28.0,7,18,28.0% (7/18),83
Jack Taylor,Ipswich Town,MF,860,23,0.7,0.5,1,0,11,43,46.7,7,8,46.7% (7/8),54
Jens Cajuste,Ipswich Town,MF,1959,20,0.7,0.8,1,1,26,59,37.1,13,22,37.1% (13/22),85
Julio Enciso,Ipswich Town,"MF,FW",869,44,1.7,1.4,2,3,23,28,32.0,8,17,32.0% (8/17),51
Kalvin Phillips,Ipswich Town,MF,1237,4,0.4,0.2,0,0,4,51,24.1,7,22,24.1% (7/22),55
Liam Delap,Ipswich Town,FW,2593,110,9.3,1.9,10,2,61,30,42.6,55,74,42.6% (55/74),91
Nathan Broadhead,Ipswich Town,"MF,FW",702,33,1.7,0.7,2,0,20,14,9.1,1,10,9.1% (1/10),34
Omari Hutchinson,Ipswich Town,"MF,FW",2583,159,2.9,3.5,3,2,97,75,18.8,6,26,18.8% (6/26),172
Sam Morsy,Ipswich Town,MF,2751,13,0.4,1.2,1,1,22,120,42.9,18,24,42.9% (18/24),142
Sammie Szmodics,Ipswich Town,"FW,MF",992,47,3.4,0.2,4,0,16,19,35.3,6,11,35.3% (6/11),35
Bilal El Khannouss,Leicester City,"MF,FW",2182,89,1.3,4.6,2,3,73,128,44.2,19,24,44.2% (19/24),201
Bobby De Cordova-Reid,Leicester City,FW,744,48,0.8,1.2,1,2,14,15,30.0,6,14,30.0% (6/14),29
Boubakary Soumaré,Leicester City,MF,2171,23,0.3,0.4,0,0,34,105,65.6,21,11,65.6% (21/11),139
Facundo Buonanotte,Leicester City,"FW,MF",1523,74,3.9,3.1,5,2,39,54,33.3,18,36,33.3% (18/36),93
Harry Winks,Leicester City,MF,1538,11,0.2,1.2,0,2,19,101,57.1,8,6,57.1% (8/6),120
Jamie Vardy,Leicester City,FW,2823,120,11.2,3.0,8,4,29,22,47.6,50,55,47.6% (50/55),51
Jordan Ayew,Leicester City,"FW,MF",1638,86,3.2,1.1,4,0,49,46,31.6,37,80,31.6% (37/80),95
Kasey McAteer,Leicester City,FW,852,71,1.0,0.7,1,1,19,14,43.3,13,17,43.3% (13/17),33
Oliver Skipp,Leicester City,MF,1129,19,0.4,0.3,0,0,16,35,66.7,12,6,66.7% (12/6),51
Patson Daka,Leicester City,"FW,MF",736,36,1.3,0.1,1,0,11,8,26.3,10,28,26.3% (10/28),19
Stephy Mavididi,Leicester City,FW,1615,138,1.8,2.6,4,1,91,57,37.5,9,15,37.5% (9/15),148
Wilfred Ndidi,Leicester City,MF,2324,75,2.0,1.9,0,5,18,70,50.8,61,59,50.8% (61/59),88
Alexis Mac Allister,Liverpool,MF,2599,80,2.8,4.7,5,5,36,177,35.8,19,34,35.8% (19/34),213
Cody Gakpo,Liverpool,FW,1935,278,7.1,4.4,10,4,59,52,39.5,17,26,39.5% (17/26),111
Darwin Núñez,Liverpool,FW,1133,78,5.8,1.3,5,2,23,27,37.7,20,33,37.7% (20/33),50
Diogo Jota,Liverpool,FW,1196,88,7.9,1.8,6,3,37,34,40.7,22,32,40.7% (22/32),71
Dominik Szoboszlai,Liverpool,MF,2491,127,7.3,7.4,6,6,72,131,45.2,19,23,45.2% (19/23),203
Luis Díaz,Liverpool,FW,2399,293,12.0,5.0,13,5,108,110,25.5,13,38,25.5% (13/38),218
Mohamed Salah,Liverpool,FW,3371,488,25.2,14.2,20,18,154,144,39.1,9,14,39.1% (9/14),298
Ryan Gravenberch,Liverpool,MF,3160,55,1.1,3.1,0,4,70,181,65.0,26,14,65.0% (26/14),251
Bernardo Silva,Manchester City,"MF,FW",2670,200,3.9,5.1,4,4,101,134,33.3,5,10,33.3% (5/10),235
Erling Haaland,Manchester City,FW,2736,124,22.0,3.0,19,3,24,20,53.3,57,50,53.3% (57/50),44
Jack Grealish,Manchester City,"FW,MF",721,118,1.1,1.8,1,1,69,52,12.5,1,7,12.5% (1/7),121
Jeremy Doku,Manchester City,"FW,MF",1516,286,1.3,4.8,3,6,213,69,0.0,0,12,0.0% (0/12),282
Kevin De Bruyne,Manchester City,"MF,FW",1702,150,5.1,8.0,4,7,51,157,23.8,5,16,23.8% (5/16),208
Mateo Kovačić,Manchester City,MF,2198,16,1.9,3.6,6,2,56,164,52.6,10,9,52.6% (10/9),220
Nicolás González,Manchester City,MF,760,11,0.5,0.1,1,0,9,50,57.1,16,12,57.1% (16/12),59
Omar Marmoush,Manchester City,"FW,MF",1175,78,5.5,2.8,7,0,29,37,31.3,5,11,31.3% (5/11),66
Phil Foden,Manchester City,"MF,FW",1777,128,5.2,4.8,7,2,50,103,25.0,3,9,25.0% (3/9),153
Sávio,Manchester City,"FW,MF",1766,246,5.0,6.9,1,8,137,67,33.3,1,2,33.3% (1/2),204
İlkay Gündoğan,Manchester City,MF,2223,96,3.2,3.5,1,6,64,127,56.0,14,11,56.0% (14/11),191
Alejandro Garnacho,Manchester Utd,"MF,FW",2199,290,7.3,4.5,6,2,141,56,11.1,3,24,11.1% (3/24),197
Amad Diallo,Manchester Utd,"MF,FW",1901,200,4.7,4.9,8,6,109,60,40.0,10,15,40.0% (10/15),169
Bruno Fernandes,Manchester Utd,MF,3018,129,9.9,8.5,5,10,77,325,44.0,22,28,44.0% (22/28),402
Casemiro,Manchester Utd,MF,1494,28,1.9,2.3,1,0,4,84,65.5,36,19,65.5% (36/19),88
Christian Eriksen,Manchester Utd,MF,1061,29,1.4,3.2,0,2,13,55,25.0,2,6,25.0% (2/6),68
Joshua Zirkzee,Manchester Utd,"FW,MF",1402,69,4.8,1.5,3,1,14,44,28.0,21,54,28.0% (21/54),58
Kobbie Mainoo,Manchester Utd,MF,1651,47,0.7,1.6,0,0,22,65,38.0,19,31,38.0% (19/31),87
Manuel Ugarte Ribeiro,Manchester Utd,MF,1785,20,1.0,1.1,1,2,16,61,50.0,18,18,50.0% (18/18),77
Marcus Rashford,Manchester Utd,"FW,MF",978,79,1.7,2.1,4,1,20,21,41.7,5,7,41.7% (5/7),41
Mason Mount,Manchester Utd,MF,622,41,3.2,0.6,1,0,15,33,33.3,4,8,33.3% (4/8),48
Rasmus Højlund,Manchester Utd,FW,2004,101,5.3,1.8,4,0,28,18,24.8,31,94,24.8% (31/94),46
Alexander Isak,Newcastle Utd,FW,2756,217,20.3,4.3,19,6,83,88,32.1,26,55,32.1% (26/55),171
Anthony Gordon,Newcastle Utd,"FW,MF",2434,214,8.0,5.0,5,5,121,98,50.0,8,8,50.0% (8/8),219
Bruno Guimarães,Newcastle Utd,MF,3271,96,4.3,6.1,5,6,64,271,48.6,18,19,48.6% (18/19),335
Harvey Barnes,Newcastle Utd,FW,1755,192,7.2,4.0,9,4,93,83,28.6,6,15,28.6% (6/15),176
Jacob Murphy,Newcastle Utd,FW,2360,231,5.7,8.9,8,12,79,83,23.8,5,16,23.8% (5/16),162
Joe Willock,Newcastle Utd,"MF,FW",1086,86,1.6,2.1,0,2,38,41,26.3,5,14,26.3% (5/14),79
Joelinton,Newcastle Utd,"MF,FW",2393,110,3.9,2.5,4,3,40,116,56.2,59,46,56.2% (59/46),156
Sandro Tonali,Newcastle Utd,MF,2630,53,4.4,2.2,4,2,37,128,50.0,12,12,50.0% (12/12),165
Sean Longstaff,Newcastle Utd,MF,798,22,0.6,0.2,0,0,4,40,50.0,7,7,50.0% (7/7),44
Anthony Elanga,Nott'ham Forest,"FW,MF",2501,229,4.5,5.7,6,11,102,63,39.3,24,37,39.3% (24/37),165
Callum Hudson-Odoi,Nott'ham Forest,"FW,MF",2194,189,2.5,2.7,5,2,130,71,23.1,3,10,23.1% (3/10),201
Chris Wood,Nott'ham Forest,FW,2959,94,13.4,2.6,17,3,14,42,39.7,94,143,39.7% (94/143),56
Elliot Anderson,Nott'ham Forest,MF,2728,94,2.1,3.3,2,6,52,143,65.1,56,30,65.1% (56/30),195
Jota Silva,Nott'ham Forest,"FW,MF",854,59,2.1,2.9,3,1,21,18,41.2,21,30,41.2% (21/30),39
Morgan Gibbs-White,Nott'ham Forest,MF,2803,137,6.3,5.0,7,8,69,164,42.1,40,55,42.1% (40/55),233
Nicolás Domínguez,Nott'ham Forest,"MF,FW",1963,33,1.5,1.3,0,1,16,83,54.0,27,23,54.0% (27/23),99
Ryan Yates,Nott'ham Forest,MF,1915,16,2.3,1.2,2,1,18,53,60.0,45,30,60.0% (45/30),71
Adam Armstrong,Southampton,"FW,MF",1248,79,3.3,1.2,2,2,25,21,35.7,5,9,35.7% (5/9),46
Cameron Archer,Southampton,FW,1441,66,5.7,0.5,2,0,22,14,23.1,9,30,23.1% (9/30),36
Flynn Downes,Southampton,MF,2151,29,0.6,1.1,1,0,29,66,50.0,17,17,50.0% (17/17),95
Kamaldeen Sulemana,Southampton,"FW,MF",1402,87,1.5,1.0,1,1,63,27,32.5,13,27,32.5% (13/27),90
Lesley Ugochukwu,Southampton,MF,1655,20,0.9,1.0,1,1,29,49,52.6,20,18,52.6% (20/18),78
Mateus Fernandes,Southampton,MF,2909,108,4.0,3.0,2,4,76,145,62.5,15,9,62.5% (15/9),221
Paul Onuachu,Southampton,FW,1050,40,3.6,0.5,4,1,7,13,61.2,93,59,61.2% (93/59),20
Tyler Dibling,Southampton,"FW,MF",1874,96,2.5,1.5,2,0,69,64,28.6,10,25,28.6% (10/25),133
William Smallbone,Southampton,MF,690,25,0.6,0.7,1,0,5,27,40.0,4,6,40.0% (4/6),32
Brennan Johnson,Tottenham,FW,2177,197,10.4,2.3,11,3,60,71,25.9,7,20,25.9% (7/20),131
Dejan Kulusevski,Tottenham,"MF,FW",2389,210,4.2,6.2,7,4,120,124,40.0,10,15,40.0% (10/15),244
Dominic Solanke,Tottenham,FW,2201,88,10.9,2.9,8,3,31,47,43.4,46,60,43.4% (46/60),78
James Maddison,Tottenham,MF,1809,95,5.8,4.2,9,7,45,164,41.7,5,7,41.7% (5/7),209
Lucas Bergvall,Tottenham,MF,1212,31,0.7,0.6,0,1,33,49,52.9,9,8,52.9% (9/8),82
Mathys Tel,Tottenham,FW,911,72,3.0,2.5,1,1,28,21,36.4,4,7,36.4% (4/7),49
Pape Matar Sarr,Tottenham,MF,1913,53,3.7,1.6,3,2,33,88,43.0,34,45,43.0% (34/45),121
Rodrigo Bentancur,Tottenham,MF,1645,34,1.3,0.4,2,0,28,100,54.5,36,30,54.5% (36/30),128
Son Heung-min,Tottenham,FW,2110,265,7.2,8.2,6,9,96,111,33.3,6,12,33.3% (6/12),207
Wilson Odobert,Tottenham,"FW,MF",850,66,1.6,1.0,1,0,45,27,33.3,4,8,33.3% (4/8),72
Yves Bissouma,Tottenham,MF,1408,3,0.6,0.3,2,0,15,75,50.0,7,7,50.0% (7/7),90
Carlos Soler,West Ham,"MF,FW",1409,37,1.8,1.4,1,1,17,56,45.5,10,12,45.5% (10/12),73
Crysencio Summerville,West Ham,"FW,MF",786,71,1.6,1.7,1,1,29,18,30.8,4,9,30.8% (4/9),47
Edson Álvarez,West Ham,MF,1772,18,0.4,0.8,0,1,24,85,56.6,30,23,56.6% (30/23),109
Guido Rodríguez,West Ham,MF,1149,7,0.2,0.2,0,1,4,33,61.1,11,7,61.1% (11/7),37
James Ward-Prowse,West Ham,MF,1039,9,1.6,1.9,1,1,11,54,66.7,10,5,66.7% (10/5),65
Jarrod Bowen,West Ham,"FW,MF",2973,212,8.6,6.8,12,8,109,91,20.0,12,48,20.0% (12/48),200
